From,To,distance,time
571QD812,571QC805,4.961007453,9.922014907
571QD813,571QC805,5.699025653,11.39805131
571QD814,571QC805,4.224836779,8.449673558
571QD815,571QC805,5.85225125,11.7045025
571QD816,571QC805,5.237006794,10.47401359
571QD818,571QC805,4.851844149,9.703688298
571QD820,571QC805,3.327804325,6.65560865
571QD821,571QC805,6.219987985,12.43997597
571NF801,571QC805,3.872702425,7.745404851
571NF805,571QC805,3.991296844,7.982593687
571NF806,571QC805,5.11731735,10.2346347
571NF807,571QC805,2.392312492,4.784624984
571NF808,571QC805,6.945473544,13.89094709
571NF809,571QC805,6.236685205,12.47337041
571AG803,571QC805,3.774173811,7.548347622
571AG806,571QC805,1.756125483,3.512250965
571QE801,571QC805,3.638470668,7.276941337
571QE807,571QC805,2.918886891,5.837773783
571QE813,571QC805,5.202994423,10.40598885
571QE814,571QC805,4.951261177,9.902522353
571QE819,571QC805,3.613901826,7.227803652
571QE820,571QC805,3.973751836,7.947503672
571QE821,571QC805,4.34739919,8.69479838
571QE827,571QC805,4.702867687,9.405735374
571QE837,571QC805,3.751906226,7.503812453
571QC806,571QC805,3.467702828,6.935405656
571QC807,571QC805,3.467086437,6.934172874
571QC808,571QC805,3.013742606,6.027485211
571QE806,571QC805,5.382236716,10.76447343
571QE810,571QC805,5.174782822,10.34956564
571QE815,571QC805,6.580853145,13.16170629
571QE816,571QC805,6.682096489,13.36419298
571QE823,571QC805,6.184836958,12.36967392
571QE825,571QC805,6.062468083,12.12493617
571QE826,571QC805,5.325528373,10.65105675
571QE829,571QC805,6.759770439,13.51954088
571QE832,571QC805,6.805864319,13.61172864
571QE833,571QC805,5.549267685,11.09853537
571QC802,571QC809,0.358309623,0.716619246
571QC803,571QC809,0.154516574,0.309033148
571QC805,571QC809,1.693504543,3.387009086
571QC809,571QC809,0,0
571QC811,571QC809,1.124086743,2.248173486
571QC813,571QC809,1.494299209,2.988598418
571QC814,571QC809,1.943068767,3.886137533
571QC816,571QC809,2.844749835,5.68949967
571QC820,571QC809,3.590906308,7.181812616
571QC822,571QC809,2.064123789,4.128247578
571QC823,571QC809,1.423880827,2.847761653
571QC824,571QC809,1.513122055,3.02624411
571QC828,571QC809,3.532161821,7.064323642
571QC826,571QC809,2.80902545,5.6180509
571QD802,571QC809,4.858095572,9.716191145
571QD804,571QC809,4.183335271,8.366670541
571QD809,571QC809,4.267293142,8.534586285
571QD812,571QC809,3.40541404,6.810828081
571QD813,571QC809,4.315186924,8.630373847
571QD814,571QC809,2.745939615,5.49187923
571QD815,571QC809,4.259809421,8.519618842
571QD816,571QC809,3.552723098,7.105446196
571QD818,571QC809,3.321570907,6.643141815
571QD820,571QC809,1.651772309,3.303544618
571QD821,571QC809,4.52703627,9.054072539
571NF801,571QC809,4.231183938,8.462367875
571NF805,571QC809,4.495587552,8.991175105
571NF806,571QC809,5.464281537,10.92856307
571NF807,571QC809,3.230282784,6.460565568
571NF808,571QC809,7.79343055,15.5868611
571NF809,571QC809,6.779598613,13.55919723
571AG803,571QC809,4.242982076,8.485964151
571AG806,571QC809,1.714180131,3.428360262
571QE801,571QC809,2.294164051,4.588328101
571QE807,571QC809,2.488387964,4.976775928
571QE813,571QC809,4.312952428,8.625904856
571QE814,571QC809,4.056790994,8.113581987
571QE819,571QC809,3.323160466,6.646320931
571QE820,571QC809,3.829413336,7.658826672
571QE821,571QC809,4.246437233,8.492874466
571QE827,571QC809,3.57448126,7.14896252
571QE837,571QC809,2.837540112,5.675080225
571QC806,571QC809,3.450962865,6.90192573
571QC807,571QC809,3.450804281,6.901608561
571QC808,571QC809,3.087268769,6.174537539
571QE806,571QC809,4.095545882,8.191091764
571QE810,571QC809,3.656051967,7.312103934
571QE815,571QC809,5.015238718,10.03047744
571QE816,571QC809,5.082717916,10.16543583
571QE823,571QC809,4.795523327,9.591046654
571QE825,571QC809,4.595267068,9.190534137
571QE826,571QC809,3.860703373,7.721406745
571QE829,571QC809,5.534305472,11.06861094
571QE832,571QC809,5.711040846,11.42208169
571QE833,571QC809,3.950611597,7.901223194
571QC802,571QC811,1.394410387,2.788820774
571QC803,571QC811,1.012975677,2.025951354
571QC805,571QC811,0.648553474,1.297106948
571QC809,571QC811,1.124114767,2.248229533
571QC811,571QC811,0,0
571QC813,571QC811,0.815925417,1.631850835
571QC814,571QC811,0.918130559,1.836261119
571QC816,571QC811,1.832124962,3.664249923
571QC820,571QC811,2.54164198,5.083283959
571QC822,571QC811,1.251575053,2.503150106
571QC823,571QC811,0.517611793,1.035223587
571QC824,571QC811,0.416831427,0.833662854
571QC828,571QC811,2.40820654,4.816413081
571QC826,571QC811,1.889229604,3.778459209
571QD802,571QC811,5.860577558,11.72115512
571QD804,571QC811,5.217443099,10.4348862
571QD809,571QC811,5.093884497,10.18776899
571QD812,571QC811,4.314043188,8.628086375
571QD813,571QC811,5.056150234,10.11230047
571QD814,571QC811,3.576283392,7.152566784
571QD815,571QC811,5.207613999,10.415228
571QD816,571QC811,4.672847855,9.34569571
571QD818,571QC811,4.403866878,8.807733757
571QD820,571QC811,2.714226007,5.428452014
571QD821,571QC811,5.62110943,11.24221886
571NF801,571QC811,4.168670563,8.337341126
571NF805,571QC811,4.341017419,8.682034838
571NF806,571QC811,5.427719474,10.85543895
571NF807,571QC811,2.822315004,5.644630008
571NF808,571QC811,7.432670453,14.86534091
571NF809,571QC811,6.623505389,13.24701078
571AG803,571QC811,3.617587072,7.235174143
571AG806,571QC811,1.296019156,2.592038312
571QE801,571QC811,3.271102675,6.542205351
571QE807,571QC811,2.890369941,5.780739881
571QE813,571QC811,5.048879025,10.09775805
571QE814,571QC811,4.7923344,9.5846688
571QE819,571QC811,3.663563314,7.327126627
571QE820,571QC811,4.087576257,8.175152515
571QE821,571QC811,4.484976954,8.969953908
571QE827,571QC811,4.44365727,8.88731454
571QE837,571QC811,3.564380016,7.128760033
571QC806,571QC811,3.616318779,7.232637558
571QC807,571QC811,3.615855813,7.231711625
571QC808,571QC811,3.181286373,6.362572747
571QE806,571QC811,5.059175416,10.11835083
571QE810,571QC811,4.734534588,9.469069176
571QE815,571QC811,6.116079195,12.23215839
571QE816,571QC811,6.195054132,12.39010826
571QE823,571QC811,5.816718976,11.63343795
571QE825,571QC811,5.653527785,11.30705557
571QE826,571QC811,4.915068978,9.830137956
571QE829,571QC811,6.472728462,12.94545692
571QE832,571QC811,6.577836776,13.15567355
571QE833,571QC811,5.061305169,10.12261034
571QC802,571QC813,1.600084339,3.200168678
571QC803,571QC813,1.341730854,2.683461708
571QC805,571QC813,0.578622451,1.157244902
571QC809,571QC813,1.494303617,2.988607233
571QC811,571QC813,0.815938415,1.63187683
571QC813,571QC813,0,0
571QC814,571QC813,0.6624294,1.3248588
571QC816,571QC813,2.278383293,4.556766587
571QC820,571QC813,2.871251581,5.742503163
571QC822,571QC813,1.94803971,3.896079421
571QC823,571QC813,1.275814207,2.551628414
571QC824,571QC813,0.676872139,1.353744278
571QC828,571QC813,2.422303206,4.844606412
571QC826,571QC813,2.44493108,4.889862159
571QD802,571QC813,6.351038417,12.70207683
571QD804,571QC813,5.670277709,11.34055542
571QD809,571QC813,5.723872689,11.44774538
571QD812,571QC813,4.887660084,9.775320169
571QD813,571QC813,5.731160181,11.46232036
