from,to,dist,time
571AD,571FT,19.396,33.25028571
571AD,571KB,18.011,30.876
571AD,571CS,7.75,13.28571429
571AD,571D,3.837,6.577714286
571AD,571DC,9.642,16.52914286
571AD,571CC,31.371,53.77885714
571AD,571FQ,36.084,61.85828571
571AD,571HK,32.132,55.08342857
571AD,571E,8.665,14.85428571
571AD,571EA,10.199,17.484
571AD,571HB,22.691,38.89885714
571AD,571KT,23.031,39.48171429
571AD,571DB,7.2,12.34285714
571AD,571DJ,3.415,5.854285714
571AD,571H,24.826,42.55885714
571AD,571TF,23.572,40.40914286
571AD,571TQ,21.33,36.56571429
571AD,571FF,19.488,33.408
571AD,571FH,24.319,41.68971429
571AD,571FL,21.945,37.62
571AD,571FJ,121.642,208.5291429
571AD,571SC,103.654,177.6925714
571AD,571FG,61.389,105.2382857
571AD,571MQ,43.386,74.376
571AD,571NF,10.092,17.30057143
571AD,571NG,20.345,34.87714286
571AD,571FA,24.308,41.67085714
571AD,571FP,22.911,39.276
571AD,571HJ,20.052,34.37485714
571AD,571LB,20.814,35.68114286
571AD,571QKA,10.229,17.53542857
571AD,571QKB,37.031,63.48171429
571AD,571QKC,22.055,37.80857143
571AD,571QKD,22.793,39.07371429
571AD,571QKE,19.385,33.23142857
571AD,571QKF,11.987,20.54914286
571AD,571QKG,23.605,40.46571429
571AD,571QKT,0,0
571AD,571FM,19.032,32.62628571
571AD,571FD,48.875,83.78571429
571AD,571FR,32.07,54.97714286
571AD,571FS,60.657,103.9834286
571AD,571LH,35.398,60.68228571
571AD,571SH,45.868,78.63085714
571AD,571FK,70.922,121.5805714
571AD,571G,49.067,84.11485714
571AD,571GB,40.122,68.78057143
571AD,571GC,56.605,97.03714286
571AD,571HG,60.914,104.424
571AD,571SB,49.116,84.19885714
571AD,571SD,45.947,78.76628571
571AD,571CK,19.167,32.85771429
571AD,571CL,19.627,33.64628571
571AD,571FB,19.891,34.09885714
571AD,571CD,10.193,17.47371429
571AD,571HN,17.196,29.47885714
571AD,571J,6.92,11.86285714
571AD,571JB,6.343,10.87371429
571AD,571KA,7.162,12.27771429
571AD,571KL,5.631,9.653142857
571AD,571FE,37.783,64.77085714
571AD,571MC,32.489,55.69542857
571AD,571MF,35.297,60.50914286
571AD,571M,37.772,64.752
571AD,571MB,34.975,59.95714286
571AD,571MD,49.073,84.12514286
571AD,571NA,23.81,40.81714286
571AD,571NE,17.519,30.03257143
571AD,571NC,11.757,20.15485714
571AD,571P,8.539,14.63828571
571AD,571PB,13.514,23.16685714
571AD,571PC,8.596,14.736
571AD,571PD,12.655,21.69428571
571AD,571AJ,8.455,14.49428571
571AD,571KJ,7.85,13.45714286
571AD,571PF,14.325,24.55714286
571AD,571PG,24.318,41.688
571AD,571PH,11.762,20.16342857
571AD,571AE,21.522,36.89485714
571AD,571HP,19.938,34.17942857
571AD,571QF,21.911,37.56171429
571AD,571QA,4.029,6.906857143
571AD,571QC,9.65,16.54285714
571AD,571QD,6.79,11.64
571AD,571QE,7.547,12.93771429
571AD,571QM,39.307,67.38342857
571AD,571L,91.865,157.4828571
571AD,571LA,90.377,154.932
571AD,571SF,165.265,283.3114286
571AD,571SA,143.869,246.6325714
571AD,571SE,138.85,238.0285714
