from,to,dist,time
571AD,571FF,19.488,43.976
571AD,571FH,24.319,53.638
571AD,571FL,21.945,48.89
571AD,571FJ,121.642,243.284
571AD,571SC,103.654,207.308
571AD,571FG,61.389,127.778
571AD,571MQ,43.386,91.772
571AD,571NF,10.092,20.184
571AD,571NG,20.345,40.69
571AD,571FA,24.308,53.616
571AD,571FP,22.911,50.822
571AD,571HJ,20.052,45.104
571AD,571LB,20.814,46.628
571AD,571QKA,10.229,20.458
571AD,571QKB,37.031,74.062
571AD,571QKC,22.055,44.11
571AD,571QKD,22.793,45.586
571AD,571QKE,19.385,43.77
571AD,571QKF,11.987,23.974
571AD,571QKG,23.605,47.21
571AD,571QKT,0,5
571AD,571FM,19.032,43.064
571AD,571FD,48.875,102.75
571AD,571FR,32.07,69.14
571AD,571FS,60.657,126.314
571AD,571LH,35.398,75.796
571AD,571SH,45.868,96.736
571AD,571FK,70.922,141.844
571AD,571G,49.067,98.134
571AD,571GB,40.122,80.244
571AD,571GC,56.605,113.21
571AD,571HG,60.914,121.828
571AD,571SB,49.116,98.232
571AD,571SD,45.947,91.894
571AD,571CK,19.167,43.334
571AD,571CL,19.627,44.254
571AD,571FB,19.891,44.782
571AD,571CD,10.193,20.386
571AD,571HN,17.196,34.392
571AD,571J,6.92,13.84
571AD,571JB,6.343,12.686
571AD,571KA,7.162,14.324
571AD,571KL,5.631,11.262
571AD,571FE,37.783,80.566
571AD,571MC,32.489,69.978
571AD,571MF,35.297,75.594
571AD,571M,37.772,80.544
571AD,571MB,34.975,74.95
571AD,571MD,49.073,103.146
571AD,571NA,23.81,47.62
571AD,571NE,17.519,35.038
571AD,571NC,11.757,23.514
571AD,571P,8.539,17.078
571AD,571PB,13.514,27.028
571AD,571PC,8.596,17.192
571AD,571PD,12.655,25.31
571AD,571AJ,8.455,16.91
571AD,571KJ,7.85,15.7
571AD,571PF,14.325,28.65
571AD,571PG,24.318,48.636
571AD,571PH,11.762,23.524
571AD,571AE,21.522,43.044
571AD,571HP,19.938,39.876
571AD,571QF,21.911,43.822
571AD,571QA,4.029,8.058
571AD,571QC,9.65,19.3
571AD,571QD,6.79,13.58
571AD,571QE,7.547,15.094
571AD,571QM,39.307,83.614
571AD,571L,91.865,183.73
571AD,571LA,90.377,180.754
571AD,571SF,165.265,330.53
571AD,571SA,143.869,287.738
571AD,571SE,138.85,277.7
571AD,571SP,159.442,318.884
571AD,571SQ,118.702,237.404
571AD,571ST,132.876,265.752
571AD,571NB,24.1,48.2
571AD,571NH,22.747,45.494
571AD,571QB,31.638,63.276
571AD,571FX,25.756,56.512
571AD,571KM,23.858,52.716
571AD,571TC,26.231,52.462
571AD,571TB,11.127,22.254
571AD,571TE,23.41,46.82
571AD,571TK,12.784,25.568
571AD,571TP,23.652,47.304
571AD,571W,22.613,45.226
571AD,571WA,32.801,70.602
571AD,571WW,38.279,81.558
571AF,571AA,2.837,5.674
571AF,571AD,4.719,9.438
571AF,571AG,17.993,35.986
571AF,571AC,22.112,44.224
571AF,571AQ,29.241,58.482
571AF,571AM,5.693,11.386
571AF,571AB,48.672,97.344
571AF,571JC,49.894,99.788
571AF,571KH,59.409,118.818
571AF,571TH,83.007,166.014
571AF,571TL,37.708,75.416
571AF,571DA,13.729,27.458
571AF,571K,8.222,16.444
571AF,571KF,10.155,20.31
571AF,571KC,14.826,29.652
571AF,571TD,15.316,30.632
571AF,571TN,18.995,37.99
571AF,571HC,13.951,27.902
571AF,571TM,11.958,23.916
571AF,571B,3.785,7.57
571AF,571BM,5.571,11.142
571AF,571CAE,13.299,31.598
571AF,571FC,15.533,36.066
571AF,571FN,20.801,46.602
571AF,571LD,13.084,31.168
571AF,571FT,14.815,34.63
571AF,571KB,13.43,31.86
571AF,571CS,3.169,6.338
571AF,571D,7.086,14.172
571AF,571DC,15.333,30.666
571AF,571CC,24.124,53.248
571AF,571FQ,30.395,65.79
571AF,571HK,25.224,55.448
571AF,571E,4.084,8.168
571AF,571EA,3.54,7.08
571AF,571HB,21.923,43.846
571AF,571KT,22.263,44.526
571AF,571DB,12.854,25.708
571AF,571DJ,6.807,13.614
571AF,571H,27.254,54.508
571AF,571TF,24.386,48.772
571AF,571TQ,21.859,43.718
571AF,571FF,14.907,34.814
571AF,571FH,19.738,44.476
