id,from,fromDepot,Total,start,end
1,571AA,571QKF,402,0,80
1,571AC,571NC,523,0,80
1,571AD,571D,1012,0,80
1,571AE,571QKC,199,0,80
1,571AF,571QKF,463,0,80
1,571AG,571QKA,399,0,80
1,571AJ,571QKC,310,0,80
1,571AM,571QKF,195,0,80
1,571AQ,571FA,104,0,80
1,571B,571D,463,0,80
1,571BM,571QKF,498,0,80
1,571CC,571FA,125,0,80
1,571CD,571QKC,402,0,80
1,571CK,571QKE,469,0,80
1,571CL,571QKE,273,0,80
1,571CS,571QKF,525,0,80
1,571DA,571D,140,0,80
1,571DB,571D,237,0,80
1,571DC,571QKA,578,0,80
1,571DJ,571D,355,0,80
1,571E,571QKF,591,0,80
1,571EA,571QKF,164,0,80
1,571FB,571QKE,227,0,80
1,571FC,571QKE,245,0,80
1,571FF,571QKE,273,0,80
1,571FH,571QKE,182,0,80
1,571FL,571QKE,93,0,80
1,571FM,571QKE,306,0,80
1,571FN,571FA,153,0,80
1,571FP,571FA,160,0,80
1,571FQ,571FA,263,0,80
1,571FT,571QKE,393,0,80
1,571FX,571FA,100,0,80
1,571HB,571NC,240,0,80
1,571HC,571NC,301,0,80
1,571HJ,571QKE,138,0,80
1,571HK,571FA,68,0,80
1,571HN,571QKC,285,0,80
1,571J,571D,461,0,80
1,571JB,571D,696,0,80
1,571K,571NC,273,0,80
1,571KA,571QKF,319,0,80
1,571KB,571QKE,301,0,80
1,571KF,571D,261,0,80
1,571KJ,571QKC,553,0,80
1,571KL,571D,385,0,80
1,571KM,571FA,189,0,80
1,571KT,571NC,238,0,80
1,571LB,571FA,133,0,80
1,571LD,571QKE,113,0,80
1,571LH,571FA,63,0,80
1,571NF,571QKA,294,0,80
1,571P,571QKF,188,0,80
1,571PB,571QKF,1200,0,80
1,571PC,571QKF,588,0,80
1,571PD,571QKE,438,0,80
1,571PF,571QKE,241,0,80
1,571PG,571QKC,387,0,80
1,571PH,571QKF,861,0,80
1,571QA,571D,252,0,80
1,571QC,571QKA,195,0,80
1,571QD,571QKA,615,0,80
1,571QE,571QKA,524,0,80
1,571QF,571QKC,277,0,80
1,571TD,571NC,125,0,80
1,571TM,571NC,147,0,80
1,571D,571FA,368,155,230
1,571D,571NC,541,155,230
1,571D,571QKA,586,155,230
1,571D,571QKC,688,155,230
1,571D,571QKE,1012,155,230
1,571D,571QKF,1136,155,230
1,571FA,571D,216,155,230
1,571FA,571NC,143,155,230
1,571FA,571QKA,143,155,230
1,571FA,571QKC,124,155,230
1,571FA,571QKE,301,155,230
1,571FA,571QKF,296,155,230
1,571NC,571D,390,155,230
1,571NC,571FA,202,155,230
1,571NC,571QKA,259,155,230
1,571NC,571QKC,243,155,230
1,571NC,571QKE,387,155,230
1,571NC,571QKF,483,155,230
1,571QKA,571D,470,155,230
1,571QKA,571FA,204,155,230
1,571QKA,571NC,268,155,230
1,571QKA,571QKC,368,155,230
1,571QKA,571QKE,462,155,230
1,571QKA,571QKF,554,155,230
1,571QKC,571D,409,155,230
1,571QKC,571FA,118,155,230
1,571QKC,571NC,186,155,230
1,571QKC,571QKA,274,155,230
1,571QKC,571QKE,446,155,230
1,571QKC,571QKF,610,155,230
1,571QKE,571D,615,155,230
1,571QKE,571FA,301,155,230
1,571QKE,571NC,290,155,230
1,571QKE,571QKA,339,155,230
1,571QKE,571QKC,437,155,230
1,571QKE,571QKF,995,155,230
1,571QKF,571D,1028,155,230
1,571QKF,571FA,450,155,230
1,571QKF,571NC,616,155,230
1,571QKF,571QKA,584,155,230
1,571QKF,571QKC,750,155,230
1,571QKF,571QKE,1072,155,230
1,571D,571AD,591,250,330
1,571D,571B,501,250,330
1,571D,571DA,190,250,330
1,571D,571DB,187,250,330
1,571D,571DJ,242,250,330
1,571D,571J,260,250,330
1,571D,571JB,565,250,330
1,571D,571KF,226,250,330
