id,from,fromDepot,Total,start,end
1,571NC,571QKA,247,165,250
1,571NC,571QKC,237,165,250
1,571NC,571QKE,377,165,250
1,571NC,571QKF,459,165,250
1,571QKA,571D,440,165,250
1,571QKA,571FA,200,165,250
1,571QKA,571NC,256,165,250
1,571QKA,571QKC,338,165,250
1,571QKA,571QKE,435,165,250
1,571QKA,571QKF,511,165,250
1,571QKC,571D,387,165,250
1,571QKC,571FA,118,165,250
1,571QKC,571NC,185,165,250
1,571QKC,571QKA,256,165,250
1,571QKC,571QKE,422,165,250
1,571QKC,571QKF,568,165,250
1,571QKE,571D,874,165,250
1,571QKE,571FA,405,165,250
1,571QKE,571NC,473,165,250
1,571QKE,571QKA,487,165,250
1,571QKE,571QKC,677,165,250
1,571QKE,571QKF,1224,165,250
1,571QKF,571D,943,165,250
1,571QKF,571FA,434,165,250
1,571QKF,571NC,578,165,250
1,571QKF,571QKA,537,165,250
1,571QKF,571QKC,689,165,250
1,571QKF,571QKE,998,165,250
1,571D,571AD,620,270,360
1,571D,571B,495,270,360
1,571D,571DA,201,270,360
1,571D,571DB,187,270,360
1,571D,571DJ,248,270,360
1,571D,571J,269,270,360
1,571D,571JB,552,270,360
1,571D,571KF,235,270,360
1,571D,571KL,417,270,360
1,571D,571QA,319,270,360
1,571FA,571AQ,192,270,360
1,571FA,571CC,195,270,360
1,571FA,571FN,238,270,360
1,571FA,571FP,180,270,360
1,571FA,571FQ,231,270,360
1,571FA,571FX,125,270,360
1,571FA,571HK,110,270,360
1,571FA,571KM,269,270,360
1,571FA,571LB,172,270,360
1,571FA,571LH,85,270,360
1,571NC,571AC,508,270,360
1,571NC,571HB,315,270,360
1,571NC,571HC,248,270,360
1,571NC,571K,281,270,360
1,571NC,571KT,293,270,360
1,571NC,571QKD,31,270,360
1,571NC,571TD,166,270,360
1,571NC,571TM,174,270,360
1,571QKA,571AG,402,270,360
1,571QKA,571DC,441,270,360
1,571QKA,571NF,224,270,360
1,571QKA,571QC,306,270,360
1,571QKA,571QD,599,270,360
1,571QKA,571QE,459,270,360
1,571QKC,571AE,237,270,360
1,571QKC,571AJ,387,270,360
1,571QKC,571CD,448,270,360
1,571QKC,571HN,384,270,360
1,571QKC,571KJ,711,270,360
1,571QKC,571PG,536,270,360
1,571QKC,571QF,296,270,360
1,571QKE,571CK,469,270,360
1,571QKE,571CL,381,270,360
1,571QKE,571FB,278,270,360
1,571QKE,571FC,300,270,360
1,571QKE,571FF,466,270,360
1,571QKE,571FH,148,270,360
1,571QKE,571FL,176,270,360
1,571QKE,571FM,503,270,360
1,571QKE,571FT,137,270,360
1,571QKE,571HJ,174,270,360
1,571QKE,571KB,437,270,360
1,571QKE,571LD,153,270,360
1,571QKE,571PD,558,270,360
1,571QKE,571PF,369,270,360
1,571QKF,571AA,337,270,360
1,571QKF,571AF,444,270,360
1,571QKF,571AM,154,270,360
1,571QKF,571BM,546,270,360
1,571QKF,571CS,442,270,360
1,571QKF,571E,512,270,360
1,571QKF,571EA,268,270,360
1,571QKF,571KA,410,270,360
1,571QKF,571P,113,270,360
1,571QKF,571PB,1233,270,360
1,571QKF,571PC,461,270,360
1,571QKF,571PH,502,270,360
