from,to,dist,time,????12????????,????5????????
571EA,571WW,31.18,67.36,#N/A,5
571HB,571AA,24.297,48.594,#N/A,#N/A
571HB,571AD,21.432,42.864,#N/A,#N/A
571HB,571AF,21.447,42.894,#N/A,#N/A
571HB,571AG,33.903,67.806,#N/A,#N/A
571HB,571AC,6.094,12.188,#N/A,#N/A
571HB,571AQ,10.433,20.866,#N/A,#N/A
571HB,571AM,18.098,36.196,#N/A,#N/A
571HB,571AB,86.546,173.092,#N/A,#N/A
571HB,571JC,87.768,175.536,#N/A,#N/A
571HB,571KH,97.283,194.566,#N/A,#N/A
571HB,571TH,120.881,241.762,#N/A,#N/A
571HB,571TL,75.582,151.164,#N/A,#N/A
571HB,571DA,24.312,48.624,#N/A,#N/A
571HB,571K,14.855,29.71,#N/A,#N/A
571HB,571KF,23.161,46.322,#N/A,#N/A
571HB,571KC,22.59,45.18,#N/A,#N/A
571HB,571TD,13.068,26.136,#N/A,#N/A
571HB,571TN,14.725,29.45,#N/A,#N/A
571HB,571HC,10.148,20.296,#N/A,#N/A
571HB,571TM,10.03,20.06,#N/A,#N/A
571HB,571B,22.627,45.254,#N/A,#N/A
571HB,571BM,27.031,54.062,#N/A,#N/A
571HB,571CAE,33.583,72.166,#N/A,#N/A
571HB,571FC,27.311,59.622,#N/A,#N/A
571HB,571FN,23.439,51.878,#N/A,#N/A
571HB,571LD,25.753,56.506,#N/A,#N/A
571HB,571FT,35.099,75.198,#N/A,#N/A
571HB,571KB,33.714,72.428,#N/A,#N/A
571HB,571CS,24.629,49.258,#N/A,#N/A
571HB,571D,20.092,40.184,#N/A,#N/A
571HB,571DC,31.243,62.486,#N/A,#N/A
571HB,571CC,31.291,67.582,#N/A,#N/A
571HB,571FQ,28.749,62.498,#N/A,#N/A
571HB,571HK,41.834,88.668,#N/A,#N/A
571HB,571E,25.544,51.088,#N/A,#N/A
571HB,571EA,24.665,49.33,#N/A,#N/A
571HB,571KT,3.89,7.78,#N/A,#N/A
571HB,571DB,25.86,51.72,#N/A,#N/A
571HB,571DJ,23.324,46.648,#N/A,#N/A
571HB,571H,22.098,44.196,#N/A,#N/A
571HB,571TF,19.87,39.74,#N/A,#N/A
571HB,571TQ,15.323,30.646,#N/A,#N/A
571HB,571FF,35.191,75.382,#N/A,#N/A
571HB,571FH,40.022,85.044,#N/A,#N/A
571HB,571FL,37.648,80.296,#N/A,#N/A
571HB,571FJ,154.204,308.408,#N/A,#N/A
571HB,571SC,130.962,261.924,#N/A,#N/A
571HB,571FG,31.406,67.812,#N/A,#N/A
571HB,571MQ,23.65,52.3,#N/A,#N/A
571HB,571NF,31.63,63.26,#N/A,#N/A
571HB,571NG,42.265,84.53,#N/A,#N/A
571HB,571FA,21.459,47.918,#N/A,#N/A
571HB,571FP,20.062,45.124,#N/A,#N/A
571HB,571HJ,23.432,51.864,#N/A,#N/A
571HB,571LB,17.965,40.93,#N/A,#N/A
571HB,571QKA,31.767,63.534,#N/A,#N/A
571HB,571QKB,29.457,58.914,#N/A,#N/A
571HB,571QKC,34.863,69.726,#N/A,#N/A
571HB,571QKD,7.003,14.006,#N/A,#N/A
571HB,571QKE,27.817,60.634,#N/A,#N/A
571HB,571QKF,18.09,36.18,#N/A,#N/A
571HB,571QKG,40.265,80.53,#N/A,#N/A
571HB,571QKT,0,5,#N/A,#N/A
571HB,571FM,34.735,74.47,#N/A,#N/A
571HB,571FD,41.54,88.08,#N/A,#N/A
571HB,571FR,50.875,106.75,#N/A,#N/A
571HB,571FS,53.322,111.644,#N/A,#N/A
571HB,571LH,38.628,82.256,#N/A,#N/A
571HB,571SH,60.476,125.952,#N/A,#N/A
571HB,571FK,86.625,173.25,#N/A,#N/A
571HB,571G,64.77,129.54,#N/A,7
571HB,571GB,67.43,134.86,#N/A,#N/A
571HB,571GC,83.913,167.826,#N/A,#N/A
571HB,571HG,88.222,176.444,#N/A,#N/A
571HB,571SB,76.424,152.848,#N/A,#N/A
571HB,571SD,61.65,123.3,#N/A,#N/A
571HB,571CK,24.21,53.42,#N/A,#N/A
571HB,571CL,27.918,60.836,#N/A,#N/A
571HB,571FB,29.999,64.998,#N/A,6
571HB,571CD,28.58,57.16,#N/A,#N/A
571HB,571HN,49.758,99.516,#N/A,#N/A
571HB,571J,25.307,50.614,#N/A,#N/A
571HB,571JB,23.908,47.816,#N/A,#N/A
571HB,571KA,17.945,35.89,#N/A,#N/A
571HB,571KL,22.534,45.068,#N/A,#N/A
571HB,571FE,18.047,41.094,#N/A,#N/A
571HB,571MC,12.753,30.506,#N/A,#N/A
571HB,571MF,15.561,36.122,#N/A,#N/A
571HB,571M,30.198,65.396,#N/A,#N/A
571HB,571MB,27.401,59.802,#N/A,#N/A
571HB,571MD,41.499,87.998,#N/A,#N/A
571HB,571NA,49.202,98.404,#N/A,#N/A
571HB,571NE,43.661,87.322,#N/A,#N/A
571HB,571NC,13.152,26.304,#N/A,#N/A
571HB,571P,24.254,48.508,#N/A,#N/A
571HB,571PB,20.98,41.96,#N/A,#N/A
571HB,571PC,22.97,45.94,#N/A,#N/A
571HB,571PD,30.299,60.598,#N/A,#N/A
571HB,571AJ,26.842,53.684,#N/A,#N/A
571HB,571KJ,26.237,52.474,#N/A,#N/A
571HB,571PF,25.514,51.028,#N/A,#N/A
571HB,571PG,39.914,79.828,#N/A,#N/A
571HB,571PH,20.031,40.062,#N/A,#N/A
571HB,571AE,54.084,108.168,#N/A,#N/A
571HB,571HP,52.5,105,#N/A,#N/A
571HB,571QF,34.719,69.438,#N/A,#N/A
571HB,571QA,24.719,49.438,#N/A,#N/A
571HB,571QC,31.251,62.502,#N/A,#N/A
571HB,571QD,27.633,55.266,#N/A,#N/A
571HB,571QE,29.148,58.296,#N/A,#N/A
571HB,571QM,31.733,68.466,#N/A,#N/A
571HB,571L,119.173,238.346,#N/A,#N/A
571HB,571LA,117.685,235.37,#N/A,#N/A
571HB,571SF,192.573,385.146,#N/A,#N/A
571HB,571SA,171.177,342.354,#N/A,#N/A
571HB,571SE,166.158,332.316,#N/A,#N/A
571HB,571SP,186.75,373.5,#N/A,#N/A
571HB,571SQ,146.01,292.02,#N/A,#N/A
571HB,571ST,160.184,320.368,#N/A,#N/A
571HB,571NB,56.662,113.324,#N/A,#N/A
571HB,571NH,39.407,78.814,#N/A,8
571HB,571QB,64.2,128.4,#N/A,#N/A
571HB,571FX,22.907,50.814,#N/A,#N/A
571HB,571KM,21.009,47.018,#N/A,#N/A
571HB,571TC,26.147,52.294,#N/A,#N/A
571HB,571TB,32.245,64.49,#N/A,#N/A
571HB,571TE,38.884,77.768,#N/A,#N/A
571HB,571TK,23.76,47.52,#N/A,#N/A
571HB,571TP,28.06,56.12,#N/A,4
571HB,571W,7.183,14.366,#N/A,#N/A
571HB,571WA,25.227,55.454,#N/A,#N/A
571HB,571WW,30.705,66.41,#N/A,5
571KT,571AA,25.276,50.552,#N/A,#N/A
571KT,571AD,22.411,44.822,#N/A,#N/A
571KT,571AF,22.426,44.852,#N/A,#N/A
571KT,571AG,34.882,69.764,#N/A,#N/A
571KT,571AC,2.204,4.408,#N/A,#N/A
571KT,571AQ,6.543,13.086,#N/A,#N/A
571KT,571AM,19.077,38.154,#N/A,#N/A
571KT,571AB,85.232,170.464,#N/A,#N/A
571KT,571JC,86.454,172.908,#N/A,#N/A
571KT,571KH,95.969,191.938,#N/A,#N/A
571KT,571TH,119.567,239.134,#N/A,#N/A
571KT,571TL,74.268,148.536,#N/A,#N/A
571KT,571DA,22.998,45.996,#N/A,#N/A
571KT,571K,15.834,31.668,#N/A,#N/A
571KT,571KF,24.4,48.8,#N/A,#N/A
571KT,571KC,21.276,42.552,#N/A,#N/A
571KT,571TD,14.047,28.094,#N/A,#N/A
571KT,571TN,15.704,31.408,#N/A,#N/A
571KT,571HC,11.127,22.254,#N/A,#N/A
571KT,571TM,11.009,22.018,#N/A,#N/A
571KT,571B,23.606,47.212,#N/A,#N/A
571KT,571BM,28.01,56.02,#N/A,#N/A
571KT,571CAE,34.562,74.124,#N/A,#N/A
571KT,571FC,27.299,59.598,#N/A,#N/A
571KT,571FN,23.424,51.848,#N/A,#N/A
571KT,571LD,26.732,58.464,#N/A,#N/A
571KT,571FT,36.078,77.156,#N/A,#N/A
571KT,571KB,34.693,74.386,#N/A,#N/A
571KT,571CS,25.608,51.216,#N/A,#N/A
571KT,571D,21.071,42.142,#N/A,#N/A
571KT,571DC,32.222,64.444,#N/A,#N/A
571KT,571CC,24.102,53.204,#N/A,#N/A
571KT,571FQ,21.56,48.12,#N/A,#N/A
571KT,571HK,34.645,74.29,#N/A,#N/A
571KT,571E,26.523,53.046,#N/A,#N/A
571KT,571EA,25.644,51.288,#N/A,#N/A
571KT,571HB,4.138,8.276,#N/A,#N/A
571KT,571DB,29.612,59.224,#N/A,#N/A
571KT,571DJ,24.303,48.606,#N/A,#N/A
571KT,571H,23.077,46.154,#N/A,#N/A
571KT,571TF,20.849,41.698,#N/A,#N/A
571KT,571TQ,16.302,32.604,#N/A,#N/A
571KT,571FF,36.17,77.34,#N/A,#N/A
571KT,571FH,44.223,93.446,#N/A,#N/A
571KT,571FL,38.627,82.254,#N/A,#N/A
571KT,571FJ,152.89,305.78,#N/A,#N/A
571KT,571SC,123.773,247.546,#N/A,#N/A
571KT,571FG,30.092,65.184,#N/A,#N/A
571KT,571MQ,22.336,49.672,#N/A,#N/A
571KT,571NF,37.65,75.3,#N/A,#N/A
571KT,571NG,40.951,81.902,#N/A,#N/A
571KT,571FA,22.438,49.876,#N/A,#N/A
571KT,571FP,21.041,47.082,#N/A,#N/A
571KT,571HJ,24.411,53.822,#N/A,#N/A
571KT,571LB,18.944,42.888,#N/A,#N/A
571KT,571QKA,41.95,83.9,#N/A,#N/A
571KT,571QKB,22.268,44.536,#N/A,#N/A
571KT,571QKC,35.842,71.684,#N/A,#N/A
571KT,571QKD,3.113,6.226,#N/A,#N/A
571KT,571QKE,28.796,62.592,#N/A,#N/A
571KT,571QKF,19.069,38.138,#N/A,#N/A
571KT,571QKG,55.71,111.42,#N/A,#N/A
571KT,571QKT,0,5,#N/A,#N/A
571KT,571FM,35.714,76.428,#N/A,#N/A
571KT,571FD,34.351,73.702,#N/A,#N/A
571KT,571FR,43.686,92.372,#N/A,#N/A
571KT,571FS,46.133,97.266,#N/A,#N/A
571KT,571LH,31.439,67.878,#N/A,#N/A
571KT,571SH,53.287,111.574,#N/A,#N/A
571KT,571FK,94.139,188.278,#N/A,#N/A
571KT,571G,72.284,144.568,#N/A,7
571KT,571GB,60.241,120.482,#N/A,#N/A
571KT,571GC,76.724,153.448,#N/A,#N/A
571KT,571HG,81.033,162.066,#N/A,#N/A
571KT,571SB,69.235,138.47,#N/A,#N/A
571KT,571SD,69.164,138.328,#N/A,#N/A
571KT,571CK,25.189,55.378,#N/A,#N/A
571KT,571CL,28.897,62.794,#N/A,#N/A
571KT,571FB,30.978,66.956,#N/A,6
571KT,571CD,29.559,59.118,#N/A,#N/A
571KT,571HN,48.444,96.888,#N/A,#N/A
571KT,571J,26.286,52.572,#N/A,#N/A
571KT,571JB,24.887,49.774,#N/A,#N/A
571KT,571KA,18.924,37.848,#N/A,#N/A
571KT,571KL,23.513,47.026,#N/A,#N/A
571KT,571FE,16.733,38.466,#N/A,#N/A
571KT,571MC,11.439,27.878,#N/A,#N/A
571KT,571MF,14.247,33.494,#N/A,#N/A
571KT,571M,23.009,51.018,#N/A,#N/A
571KT,571MB,20.212,45.424,#N/A,#N/A
571KT,571MD,34.31,73.62,#N/A,#N/A
571KT,571NA,47.888,95.776,#N/A,#N/A
571KT,571NE,42.347,84.694,#N/A,#N/A
571KT,571NC,14.131,28.262,#N/A,#N/A
571KT,571P,25.233,50.466,#N/A,#N/A
571KT,571PB,21.959,43.918,#N/A,#N/A
571KT,571PC,23.949,47.898,#N/A,#N/A
571KT,571PD,31.278,62.556,#N/A,#N/A
571KT,571AJ,27.821,55.642,#N/A,#N/A
571KT,571KJ,27.216,54.432,#N/A,#N/A
571KT,571PF,26.493,52.986,#N/A,#N/A
571KT,571PG,55.173,110.346,#N/A,#N/A
571KT,571PH,21.01,42.02,#N/A,#N/A
571KT,571AE,52.77,105.54,#N/A,#N/A
571KT,571HP,51.186,102.372,#N/A,#N/A
571KT,571QF,35.698,71.396,#N/A,#N/A
571KT,571QA,25.698,51.396,#N/A,#N/A
571KT,571QC,32.23,64.46,#N/A,#N/A
571KT,571QD,28.612,57.224,#N/A,#N/A
571KT,571QE,30.127,60.254,#N/A,#N/A
571KT,571QM,24.544,54.088,#N/A,#N/A
571KT,571L,111.984,223.968,#N/A,#N/A
571KT,571LA,110.496,220.992,#N/A,#N/A
571KT,571SF,185.384,370.768,#N/A,#N/A
571KT,571SA,163.988,327.976,#N/A,#N/A
571KT,571SE,158.969,317.938,#N/A,#N/A
571KT,571SP,179.561,359.122,#N/A,#N/A
571KT,571SQ,138.821,277.642,#N/A,#N/A
571KT,571ST,152.995,305.99,#N/A,#N/A
571KT,571NB,55.348,110.696,#N/A,#N/A
571KT,571NH,54.852,109.704,#N/A,8
571KT,571QB,62.886,125.772,#N/A,#N/A
571KT,571FX,21.694,48.388,#N/A,#N/A
571KT,571KM,21.988,48.976,#N/A,#N/A
571KT,571TC,27.126,54.252,#N/A,#N/A
571KT,571TB,30.931,61.862,#N/A,#N/A
571KT,571TE,37.57,75.14,#N/A,#N/A
571KT,571TK,22.446,44.892,#N/A,#N/A
571KT,571TP,37.681,75.362,#N/A,4
571KT,571W,3.293,6.586,#N/A,#N/A
571KT,571WA,18.038,41.076,#N/A,#N/A
571KT,571WW,23.516,52.032,#N/A,5
571DB,571AA,14.088,28.176,#N/A,#N/A
571DB,571AD,8.369,16.738,#N/A,#N/A
571DB,571AF,13.407,26.814,#N/A,#N/A
571DB,571AG,17.592,35.184,#N/A,#N/A
571DB,571AC,32.667,65.334,#N/A,#N/A
571DB,571AQ,35.203,70.406,#N/A,#N/A
571DB,571AM,15.009,30.018,#N/A,#N/A
571DB,571AB,60.754,121.508,#N/A,#N/A
571DB,571JC,61.976,123.952,#N/A,#N/A
571DB,571KH,71.491,142.982,#N/A,#N/A
571DB,571TH,95.089,190.178,#N/A,#N/A
571DB,571TL,49.79,99.58,#N/A,#N/A
571DB,571DA,9.199,18.398,#N/A,#N/A
571DB,571K,14.115,28.23,#N/A,#N/A
571DB,571KF,6.79,13.58,#N/A,#N/A
571DB,571KC,14.881,29.762,#N/A,#N/A
571DB,571TD,16.885,33.77,#N/A,#N/A
571DB,571TN,20.721,41.442,#N/A,#N/A
571DB,571HC,19.844,39.688,#N/A,#N/A
571DB,571TM,17.851,35.702,#N/A,#N/A
571DB,571B,10.912,21.824,#N/A,#N/A
571DB,571BM,16.822,33.644,#N/A,#N/A
571DB,571CAE,25.408,55.816,#N/A,#N/A
571DB,571FC,25.794,56.588,#N/A,#N/A
571DB,571FN,31.413,67.826,#N/A,#N/A
571DB,571LD,23.345,51.69,#N/A,#N/A
571DB,571FT,26.924,58.848,#N/A,#N/A
571DB,571KB,25.539,56.078,#N/A,#N/A
571DB,571CS,14.42,28.84,#N/A,#N/A
571DB,571D,7.269,14.538,#N/A,#N/A
571DB,571DC,9.863,19.726,#N/A,#N/A
571DB,571CC,34.385,73.77,#N/A,#N/A
571DB,571FQ,41.209,87.418,#N/A,#N/A
571DB,571HK,35.485,75.97,#N/A,#N/A
571DB,571E,15.335,30.67,#N/A,#N/A
571DB,571EA,16.49,32.98,#N/A,#N/A
571DB,571HB,32.03,64.06,#N/A,#N/A
571DB,571KT,30.413,60.826,#N/A,#N/A
571DB,571DJ,5.997,11.994,#N/A,#N/A
571DB,571H,19.834,39.668,#N/A,#N/A
571DB,571TF,17.458,34.916,#N/A,#N/A
571DB,571TQ,24.121,48.242,#N/A,#N/A
571DB,571FF,27.016,59.032,#N/A,#N/A
571DB,571FH,31.847,68.694,#N/A,#N/A
571DB,571FL,29.473,63.946,#N/A,#N/A
571DB,571FJ,128.412,256.824,#N/A,#N/A
571DB,571SC,116.789,233.578,#N/A,#N/A
571DB,571FG,64.18,133.36,#N/A,#N/A
571DB,571MQ,46.071,97.142,#N/A,#N/A
571DB,571NF,8.104,16.208,#N/A,#N/A
571DB,571NG,16.173,32.346,#N/A,#N/A
571DB,571FA,29.433,63.866,#N/A,#N/A
571DB,571FP,28.036,61.072,#N/A,#N/A
571DB,571HJ,23.066,51.132,#N/A,#N/A
571DB,571LB,25.939,56.878,#N/A,#N/A
571DB,571QKA,8.241,16.482,#N/A,#N/A
571DB,571QKB,42.156,84.312,#N/A,#N/A
571DB,571QKC,28.825,57.65,#N/A,#N/A
571DB,571QKD,33.576,67.152,#N/A,#N/A
571DB,571QKE,24.041,53.082,#N/A,#N/A
571DB,571QKF,15.001,30.002,#N/A,#N/A
571DB,571QKG,31.232,62.464,#N/A,#N/A
571DB,571QKT,0,5,#N/A,#N/A
571DB,571FM,26.56,58.12,#N/A,#N/A
571DB,571FD,54,113,#N/A,#N/A
571DB,571FR,39.598,84.196,#N/A,#N/A
571DB,571FS,65.782,136.564,#N/A,#N/A
571DB,571LH,38.412,81.824,#N/A,#N/A
571DB,571SH,53.396,111.792,#N/A,#N/A
571DB,571FK,81.258,162.516,#N/A,#N/A
571DB,571G,59.403,118.806,#N/A,7
571DB,571GB,53.257,106.514,#N/A,#N/A
571DB,571GC,69.74,139.48,#N/A,#N/A
571DB,571HG,63.516,127.032,#N/A,#N/A
571DB,571SB,62.251,124.502,#N/A,#N/A
571DB,571SD,56.283,112.566,#N/A,#N/A
571DB,571CK,22.181,49.362,#N/A,#N/A
571DB,571CL,24.142,53.284,#N/A,#N/A
571DB,571FB,27.419,59.838,#N/A,6
571DB,571CD,16.359,32.718,#N/A,#N/A
571DB,571HN,23.966,47.932,#N/A,#N/A
571DB,571J,14.373,28.746,#N/A,#N/A
571DB,571JB,15.868,31.736,#N/A,#N/A
571DB,571KA,12.287,24.574,#N/A,#N/A
571DB,571KL,14.494,28.988,#N/A,#N/A
571DB,571FE,40.468,85.936,#N/A,#N/A
571DB,571MC,35.174,75.348,#N/A,#N/A
571DB,571MF,37.982,80.964,#N/A,#N/A
571DB,571M,42.897,90.794,#N/A,#N/A
571DB,571MB,40.1,85.2,#N/A,#N/A
571DB,571MD,54.198,113.396,#N/A,#N/A
571DB,571NA,23.41,46.82,#N/A,#N/A
571DB,571NE,17.869,35.738,#N/A,#N/A
571DB,571NC,16.882,33.764,#N/A,#N/A
571DB,571P,16.079,32.158,#N/A,#N/A
571DB,571PB,16.528,33.056,#N/A,#N/A
571DB,571PC,14.795,29.59,#N/A,#N/A
571DB,571PD,22.124,44.248,#N/A,#N/A
571DB,571AJ,14.621,29.242,#N/A,#N/A
571DB,571KJ,15.303,30.606,#N/A,#N/A
571DB,571PF,17.339,34.678,#N/A,#N/A
571DB,571PG,42.292,84.584,#N/A,#N/A
571DB,571PH,14.776,29.552,#N/A,#N/A
571DB,571AE,28.292,56.584,#N/A,#N/A
571DB,571HP,26.708,53.416,#N/A,#N/A
571DB,571QF,28.681,57.362,#N/A,#N/A
571DB,571QA,11.482,22.964,#N/A,#N/A
571DB,571QC,9.871,19.742,#N/A,#N/A
571DB,571QD,11.734,23.468,#N/A,#N/A
571DB,571QE,9.717,19.434,#N/A,#N/A
571DB,571QM,44.432,93.864,#N/A,#N/A
571DB,571L,105,210,#N/A,#N/A
571DB,571LA,103.512,207.024,#N/A,#N/A
571DB,571SF,178.4,356.8,#N/A,#N/A
571DB,571SA,157.004,314.008,#N/A,#N/A
571DB,571SE,151.985,303.97,#N/A,#N/A
571DB,571SP,172.577,345.154,#N/A,#N/A
571DB,571SQ,131.837,263.674,#N/A,#N/A
571DB,571ST,146.011,292.022,#N/A,#N/A
571DB,571NB,30.87,61.74,#N/A,#N/A
571DB,571NH,30.374,60.748,#N/A,8
571DB,571QB,38.408,76.816,#N/A,#N/A
571DB,571FX,30.881,66.762,#N/A,#N/A
571DB,571KM,28.983,62.966,#N/A,#N/A
571DB,571TC,21.239,42.478,#N/A,#N/A
571DB,571TB,4.269,8.538,#N/A,#N/A
571DB,571TE,13.373,26.746,#N/A,#N/A
571DB,571TK,11.784,23.568,#N/A,#N/A
571DB,571TP,18.66,37.32,#N/A,4
571DB,571W,33.756,67.512,#N/A,#N/A
571DB,571WA,37.926,80.852,#N/A,#N/A
571DB,571WW,43.404,91.808,#N/A,5
571DJ,571AA,12.188,24.376,#N/A,#N/A
571DJ,571AD,3.314,6.628,#N/A,#N/A
571DJ,571AF,6.751,13.502,#N/A,#N/A
571DJ,571AG,12.745,25.49,#N/A,#N/A
571DJ,571AC,23.936,47.872,#N/A,#N/A
571DJ,571AQ,31.716,63.432,#N/A,#N/A
571DJ,571AM,10.94,21.88,#N/A,#N/A
571DJ,571AB,54.427,108.854,#N/A,#N/A
571DJ,571JC,55.649,111.298,#N/A,#N/A
571DJ,571KH,65.164,130.328,#N/A,#N/A
571DJ,571TH,88.762,177.524,#N/A,#N/A
571DJ,571TL,43.463,86.926,#N/A,#N/A
571DJ,571DA,5.964,11.928,#N/A,#N/A
571DJ,571K,10.046,20.092,#N/A,#N/A
571DJ,571KF,2.94,5.88,#N/A,#N/A
571DJ,571KC,10.812,21.624,#N/A,#N/A
571DJ,571TD,13.398,26.796,#N/A,#N/A
571DJ,571TN,14.548,29.096,#N/A,#N/A
571DJ,571HC,15.775,31.55,#N/A,#N/A
571DJ,571TM,13.782,27.564,#N/A,#N/A
571DJ,571B,6.848,13.696,#N/A,#N/A
571DJ,571BM,14.922,29.844,#N/A,#N/A
571DJ,571CAE,21.339,47.678,#N/A,#N/A
571DJ,571FC,21.725,48.45,#N/A,#N/A
571DJ,571FN,27.344,59.688,#N/A,#N/A
571DJ,571LD,19.276,43.552,#N/A,#N/A
571DJ,571FT,22.855,50.71,#N/A,#N/A
571DJ,571KB,21.47,47.94,#N/A,#N/A
571DJ,571CS,12.52,25.04,#N/A,#N/A
571DJ,571D,2.712,5.424,#N/A,#N/A
571DJ,571DC,10.085,20.17,#N/A,#N/A
571DJ,571CC,30.316,65.632,#N/A,#N/A
571DJ,571FQ,37.14,79.28,#N/A,#N/A
571DJ,571HK,31.416,67.832,#N/A,#N/A
571DJ,571E,13.435,26.87,#N/A,#N/A
571DJ,571EA,12.421,24.842,#N/A,#N/A
571DJ,571HB,23.747,47.494,#N/A,#N/A
571DJ,571KT,24.087,48.174,#N/A,#N/A
571DJ,571DB,4.915,9.83,#N/A,#N/A
571DJ,571H,21.821,43.642,#N/A,#N/A
571DJ,571TF,22.77,45.54,#N/A,#N/A
571DJ,571TQ,20.528,41.056,#N/A,#N/A
571DJ,571FF,22.947,50.894,#N/A,#N/A
571DJ,571FH,27.778,60.556,#N/A,#N/A
571DJ,571FL,25.404,55.808,#N/A,#N/A
571DJ,571FJ,122.085,244.17,#N/A,#N/A
571DJ,571SC,110.462,220.924,#N/A,#N/A
571DJ,571FG,60.587,126.174,#N/A,#N/A
571DJ,571MQ,42.584,90.168,#N/A,#N/A
571DJ,571NF,10.535,21.07,#N/A,#N/A
571DJ,571NG,20.788,41.576,#N/A,#N/A
571DJ,571FA,25.364,55.728,#N/A,#N/A
571DJ,571FP,23.967,52.934,#N/A,#N/A
571DJ,571HJ,18.997,42.994,#N/A,#N/A
571DJ,571LB,21.87,48.74,#N/A,#N/A
571DJ,571QKA,10.672,21.344,#N/A,#N/A
571DJ,571QKB,38.087,76.174,#N/A,#N/A
571DJ,571QKC,22.498,44.996,#N/A,#N/A
571DJ,571QKD,23.849,47.698,#N/A,#N/A
571DJ,571QKE,19.972,44.944,#N/A,#N/A
571DJ,571QKF,10.932,21.864,#N/A,#N/A
571DJ,571QKG,24.048,48.096,#N/A,#N/A
571DJ,571QKT,0,5,#N/A,#N/A
571DJ,571FM,22.491,49.982,#N/A,#N/A
571DJ,571FD,49.931,104.862,#N/A,#N/A
571DJ,571FR,35.529,76.058,#N/A,#N/A
571DJ,571FS,61.713,128.426,#N/A,#N/A
571DJ,571LH,34.343,73.686,#N/A,#N/A
571DJ,571SH,49.327,103.654,#N/A,#N/A
571DJ,571FK,74.931,149.862,#N/A,#N/A
571DJ,571G,53.076,106.152,#N/A,7
571DJ,571GB,46.93,93.86,#N/A,#N/A
571DJ,571GC,63.413,126.826,#N/A,#N/A
571DJ,571HG,57.189,114.378,#N/A,#N/A
571DJ,571SB,55.924,111.848,#N/A,#N/A
571DJ,571SD,49.956,99.912,#N/A,#N/A
571DJ,571CK,18.112,41.224,#N/A,#N/A
571DJ,571CL,20.073,45.146,#N/A,#N/A
571DJ,571FB,23.35,51.7,#N/A,6
571DJ,571CD,14.801,29.602,#N/A,#N/A
571DJ,571HN,17.639,35.278,#N/A,#N/A
571DJ,571J,13.198,26.396,#N/A,#N/A
571DJ,571JB,11.799,23.598,#N/A,#N/A
571DJ,571KA,8.218,16.436,#N/A,#N/A
571DJ,571KL,10.425,20.85,#N/A,#N/A
571DJ,571FE,36.981,78.962,#N/A,#N/A
571DJ,571MC,31.687,68.374,#N/A,#N/A
571DJ,571MF,34.495,73.99,#N/A,#N/A
571DJ,571M,38.828,82.656,#N/A,#N/A
571DJ,571MB,36.031,77.062,#N/A,#N/A
571DJ,571MD,50.129,105.258,#N/A,#N/A
571DJ,571NA,24.253,48.506,#N/A,#N/A
571DJ,571NE,17.962,35.924,#N/A,#N/A
571DJ,571NC,12.813,25.626,#N/A,#N/A
571DJ,571P,12.01,24.02,#N/A,#N/A
571DJ,571PB,12.459,24.918,#N/A,#N/A
571DJ,571PC,10.726,21.452,#N/A,#N/A
571DJ,571PD,18.055,36.11,#N/A,#N/A
571DJ,571AJ,14.733,29.466,#N/A,#N/A
571DJ,571KJ,14.128,28.256,#N/A,#N/A
571DJ,571PF,13.27,26.54,#N/A,#N/A
571DJ,571PG,27.67,55.34,#N/A,#N/A
571DJ,571PH,10.707,21.414,#N/A,#N/A
571DJ,571AE,21.965,43.93,#N/A,#N/A
571DJ,571HP,20.381,40.762,#N/A,#N/A
571DJ,571QF,22.354,44.708,#N/A,#N/A
571DJ,571QA,6.635,13.27,#N/A,#N/A
571DJ,571QC,10.093,20.186,#N/A,#N/A
571DJ,571QD,11.776,23.552,#N/A,#N/A
571DJ,571QE,7.99,15.98,#N/A,#N/A
571DJ,571QM,40.363,85.726,#N/A,#N/A
571DJ,571L,98.673,197.346,#N/A,#N/A
571DJ,571LA,97.185,194.37,#N/A,#N/A
571DJ,571SF,172.073,344.146,#N/A,#N/A
571DJ,571SA,150.677,301.354,#N/A,#N/A
571DJ,571SE,145.658,291.316,#N/A,#N/A
571DJ,571SP,166.25,332.5,#N/A,#N/A
571DJ,571SQ,125.51,251.02,#N/A,#N/A
571DJ,571ST,139.684,279.368,#N/A,#N/A
571DJ,571NB,24.543,49.086,#N/A,#N/A
571DJ,571NH,23.19,46.38,#N/A,8
571DJ,571QB,32.081,64.162,#N/A,#N/A
571DJ,571FX,26.812,58.624,#N/A,#N/A
571DJ,571KM,24.914,54.828,#N/A,#N/A
571DJ,571TC,23.226,46.452,#N/A,#N/A
571DJ,571TB,8.842,17.684,#N/A,#N/A
571DJ,571TE,21.076,42.152,#N/A,#N/A
571DJ,571TK,11.982,23.964,#N/A,#N/A
571DJ,571TP,20.647,41.294,#N/A,4
571DJ,571W,23.669,47.338,#N/A,#N/A
571DJ,571WA,33.857,72.714,#N/A,#N/A
571DJ,571WW,39.335,83.67,#N/A,5
571H,571AA,30.093,60.186,#N/A,#N/A
571H,571AD,24.495,48.99,#N/A,#N/A
571H,571AF,27.243,54.486,#N/A,#N/A
571H,571AG,34.986,69.972,#N/A,#N/A
571H,571AC,24.088,48.176,#N/A,#N/A
571H,571AQ,31.217,62.434,#N/A,#N/A
