from,to,dist,time,????12????????,????5????????
571AA,571QC,16.617,33.234,#N/A,#N/A
571AA,571QD,12.811,25.622,#N/A,#N/A
571AA,571QE,14.525,29.05,#N/A,#N/A
571AA,571QM,37.327,79.654,#N/A,#N/A
571AA,571L,85.043,170.086,#N/A,#N/A
571AA,571LA,83.555,167.11,#N/A,#N/A
571AA,571SF,158.443,316.886,#N/A,#N/A
571AA,571SA,137.047,274.094,#N/A,#N/A
571AA,571SE,132.028,264.056,#N/A,#N/A
571AA,571SP,152.62,305.24,#N/A,#N/A
571AA,571SQ,111.88,223.76,#N/A,#N/A
571AA,571ST,126.054,252.108,#N/A,#N/A
571AA,571NB,19.385,38.77,#N/A,#N/A
571AA,571NH,21.98,43.96,#N/A,8
571AA,571QB,26.977,53.954,#N/A,#N/A
571AA,571FX,20.365,45.73,#N/A,#N/A
571AA,571KM,21.802,48.604,#N/A,#N/A
571AA,571TC,34.735,69.47,#N/A,#N/A
571AA,571TB,23.463,46.926,#N/A,#N/A
571AA,571TE,30.102,60.204,#N/A,#N/A
571AA,571TK,21.177,42.354,#N/A,#N/A
571AA,571TP,32.156,64.312,#N/A,4
571AA,571W,27.026,54.052,#N/A,#N/A
571AA,571WA,29.007,63.014,#N/A,#N/A
571AA,571WW,36.299,77.598,#N/A,5
571AD,571AA,7.418,14.836,#N/A,#N/A
571AD,571AF,5.613,11.226,#N/A,#N/A
571AD,571AG,12.302,24.604,#N/A,#N/A
571AD,571AC,22.88,45.76,#N/A,#N/A
571AD,571AQ,32.518,65.036,#N/A,#N/A
571AD,571AM,11.995,23.99,#N/A,#N/A
571AD,571AB,53.984,107.968,#N/A,#N/A
571AD,571JC,55.206,110.412,#N/A,#N/A
571AD,571KH,64.721,129.442,#N/A,#N/A
571AD,571TH,88.319,176.638,#N/A,#N/A
571AD,571TL,43.02,86.04,#N/A,#N/A
571AD,571DA,8.641,17.282,#N/A,#N/A
571AD,571K,8.99,17.98,#N/A,#N/A
571AD,571KF,6.232,12.464,#N/A,#N/A
571AD,571KC,11.614,23.228,#N/A,#N/A
571AD,571TD,14.2,28.4,#N/A,#N/A
571AD,571TN,15.35,30.7,#N/A,#N/A
571AD,571HC,14.719,29.438,#N/A,#N/A
571AD,571TM,12.726,25.452,#N/A,#N/A
571AD,571B,4.242,8.484,#N/A,#N/A
571AD,571BM,10.152,20.304,#N/A,#N/A
571AD,571CAE,17.88,40.76,#N/A,#N/A
571AD,571FC,22.78,50.56,#N/A,#N/A
571AD,571FN,26.288,57.576,#N/A,#N/A
571AD,571LD,20.331,45.662,#N/A,#N/A
571AD,571FT,19.396,43.792,#N/A,#N/A
571AD,571KB,18.011,41.022,#N/A,#N/A
571AD,571CS,7.75,15.5,#N/A,#N/A
571AD,571D,3.837,7.674,#N/A,#N/A
571AD,571DC,9.642,19.284,#N/A,#N/A
571AD,571CC,31.371,67.742,#N/A,#N/A
571AD,571FQ,36.084,77.168,#N/A,#N/A
571AD,571HK,32.132,69.264,#N/A,#N/A
571AD,571E,8.665,17.33,#N/A,#N/A
571AD,571EA,10.199,20.398,#N/A,#N/A
571AD,571HB,22.691,45.382,#N/A,#N/A
571AD,571KT,23.031,46.062,#N/A,#N/A
571AD,571DB,7.2,14.4,#N/A,#N/A
571AD,571DJ,3.415,6.83,#N/A,#N/A
571AD,571H,24.826,49.652,#N/A,#N/A
571AD,571TF,23.572,47.144,#N/A,#N/A
571AD,571TQ,21.33,42.66,#N/A,#N/A
571AD,571FF,19.488,43.976,#N/A,#N/A
571AD,571FH,24.319,53.638,#N/A,#N/A
571AD,571FL,21.945,48.89,#N/A,#N/A
571AD,571FJ,121.642,243.284,#N/A,#N/A
571AD,571SC,103.654,207.308,#N/A,#N/A
571AD,571FG,61.389,127.778,#N/A,#N/A
571AD,571MQ,43.386,91.772,#N/A,#N/A
571AD,571NF,10.092,20.184,#N/A,#N/A
571AD,571NG,20.345,40.69,#N/A,#N/A
571AD,571FA,24.308,53.616,#N/A,#N/A
571AD,571FP,22.911,50.822,#N/A,#N/A
571AD,571HJ,20.052,45.104,#N/A,#N/A
571AD,571LB,20.814,46.628,#N/A,#N/A
571AD,571QKA,10.229,20.458,#N/A,#N/A
571AD,571QKB,37.031,74.062,#N/A,#N/A
571AD,571QKC,22.055,44.11,#N/A,#N/A
571AD,571QKD,22.793,45.586,#N/A,#N/A
571AD,571QKE,19.385,43.77,#N/A,#N/A
571AD,571QKF,11.987,23.974,#N/A,#N/A
571AD,571QKG,23.605,47.21,#N/A,#N/A
571AD,571QKT,0,5,#N/A,#N/A
571AD,571FM,19.032,43.064,#N/A,#N/A
571AD,571FD,48.875,102.75,#N/A,#N/A
571AD,571FR,32.07,69.14,#N/A,#N/A
571AD,571FS,60.657,126.314,#N/A,#N/A
571AD,571LH,35.398,75.796,#N/A,#N/A
571AD,571SH,45.868,96.736,#N/A,#N/A
571AD,571FK,70.922,141.844,#N/A,#N/A
571AD,571G,49.067,98.134,#N/A,7
571AD,571GB,40.122,80.244,#N/A,#N/A
571AD,571GC,56.605,113.21,#N/A,#N/A
571AD,571HG,60.914,121.828,#N/A,#N/A
571AD,571SB,49.116,98.232,#N/A,#N/A
571AD,571SD,45.947,91.894,#N/A,#N/A
571AD,571CK,19.167,43.334,#N/A,#N/A
571AD,571CL,19.627,44.254,#N/A,#N/A
571AD,571FB,19.891,44.782,#N/A,6
571AD,571CD,10.193,20.386,#N/A,#N/A
571AD,571HN,17.196,34.392,#N/A,#N/A
571AD,571J,6.92,13.84,#N/A,#N/A
571AD,571JB,6.343,12.686,#N/A,#N/A
571AD,571KA,7.162,14.324,#N/A,#N/A
571AD,571KL,5.631,11.262,#N/A,#N/A
571AD,571FE,37.783,80.566,#N/A,#N/A
571AD,571MC,32.489,69.978,#N/A,#N/A
571AD,571MF,35.297,75.594,#N/A,#N/A
571AD,571M,37.772,80.544,#N/A,#N/A
571AD,571MB,34.975,74.95,#N/A,#N/A
571AD,571MD,49.073,103.146,#N/A,#N/A
571AD,571NA,23.81,47.62,#N/A,#N/A
571AD,571NE,17.519,35.038,#N/A,#N/A
571AD,571NC,11.757,23.514,#N/A,#N/A
571AD,571P,8.539,17.078,#N/A,#N/A
571AD,571PB,13.514,27.028,#N/A,#N/A
571AD,571PC,8.596,17.192,#N/A,#N/A
571AD,571PD,12.655,25.31,#N/A,#N/A
571AD,571AJ,8.455,16.91,#N/A,#N/A
571AD,571KJ,7.85,15.7,#N/A,#N/A
571AD,571PF,14.325,28.65,#N/A,#N/A
571AD,571PG,24.318,48.636,#N/A,#N/A
571AD,571PH,11.762,23.524,#N/A,#N/A
571AD,571AE,21.522,43.044,#N/A,#N/A
571AD,571HP,19.938,39.876,#N/A,#N/A
571AD,571QF,21.911,43.822,#N/A,#N/A
571AD,571QA,4.029,8.058,#N/A,#N/A
571AD,571QC,9.65,19.3,#N/A,#N/A
571AD,571QD,6.79,13.58,#N/A,#N/A
571AD,571QE,7.547,15.094,#N/A,#N/A
571AD,571QM,39.307,83.614,#N/A,#N/A
571AD,571L,91.865,183.73,#N/A,#N/A
571AD,571LA,90.377,180.754,#N/A,#N/A
571AD,571SF,165.265,330.53,#N/A,#N/A
571AD,571SA,143.869,287.738,#N/A,#N/A
571AD,571SE,138.85,277.7,#N/A,#N/A
571AD,571SP,159.442,318.884,#N/A,#N/A
571AD,571SQ,118.702,237.404,#N/A,#N/A
571AD,571ST,132.876,265.752,#N/A,#N/A
571AD,571NB,24.1,48.2,#N/A,#N/A
571AD,571NH,22.747,45.494,#N/A,8
571AD,571QB,31.638,63.276,#N/A,#N/A
571AD,571FX,25.756,56.512,#N/A,#N/A
571AD,571KM,23.858,52.716,#N/A,#N/A
571AD,571TC,26.231,52.462,#N/A,#N/A
571AD,571TB,11.127,22.254,#N/A,#N/A
571AD,571TE,23.41,46.82,#N/A,#N/A
571AD,571TK,12.784,25.568,#N/A,#N/A
571AD,571TP,23.652,47.304,#N/A,4
571AD,571W,22.613,45.226,#N/A,#N/A
571AD,571WA,32.801,70.602,#N/A,#N/A
571AD,571WW,38.279,81.558,#N/A,5
571AF,571AA,2.837,5.674,#N/A,#N/A
571AF,571AD,4.719,9.438,#N/A,#N/A
571AF,571AG,17.993,35.986,#N/A,#N/A
571AF,571AC,22.112,44.224,#N/A,#N/A
571AF,571AQ,29.241,58.482,#N/A,#N/A
571AF,571AM,5.693,11.386,#N/A,#N/A
571AF,571AB,48.672,97.344,#N/A,#N/A
571AF,571JC,49.894,99.788,#N/A,#N/A
571AF,571KH,59.409,118.818,#N/A,#N/A
571AF,571TH,83.007,166.014,#N/A,#N/A
571AF,571TL,37.708,75.416,#N/A,#N/A
571AF,571DA,13.729,27.458,#N/A,#N/A
571AF,571K,8.222,16.444,#N/A,#N/A
571AF,571KF,10.155,20.31,#N/A,#N/A
571AF,571KC,14.826,29.652,#N/A,#N/A
571AF,571TD,15.316,30.632,#N/A,#N/A
571AF,571TN,18.995,37.99,#N/A,#N/A
571AF,571HC,13.951,27.902,#N/A,#N/A
571AF,571TM,11.958,23.916,#N/A,#N/A
571AF,571B,3.785,7.57,#N/A,#N/A
571AF,571BM,5.571,11.142,#N/A,#N/A
571AF,571CAE,13.299,31.598,#N/A,#N/A
571AF,571FC,15.533,36.066,#N/A,#N/A
571AF,571FN,20.801,46.602,#N/A,#N/A
571AF,571LD,13.084,31.168,#N/A,#N/A
571AF,571FT,14.815,34.63,#N/A,#N/A
571AF,571KB,13.43,31.86,#N/A,#N/A
571AF,571CS,3.169,6.338,#N/A,#N/A
571AF,571D,7.086,14.172,#N/A,#N/A
571AF,571DC,15.333,30.666,#N/A,#N/A
571AF,571CC,24.124,53.248,#N/A,#N/A
571AF,571FQ,30.395,65.79,#N/A,#N/A
571AF,571HK,25.224,55.448,#N/A,#N/A
571AF,571E,4.084,8.168,#N/A,#N/A
571AF,571EA,3.54,7.08,#N/A,#N/A
571AF,571HB,21.923,43.846,#N/A,#N/A
571AF,571KT,22.263,44.526,#N/A,#N/A
571AF,571DB,12.854,25.708,#N/A,#N/A
571AF,571DJ,6.807,13.614,#N/A,#N/A
571AF,571H,27.254,54.508,#N/A,#N/A
571AF,571TF,24.386,48.772,#N/A,#N/A
571AF,571TQ,21.859,43.718,#N/A,#N/A
571AF,571FF,14.907,34.814,#N/A,#N/A
571AF,571FH,19.738,44.476,#N/A,#N/A
571AF,571FL,17.364,39.728,#N/A,#N/A
571AF,571FJ,116.33,232.66,#N/A,#N/A
571AF,571SC,99.073,198.146,#N/A,#N/A
571AF,571FG,58.634,122.268,#N/A,#N/A
571AF,571MQ,42.058,89.116,#N/A,#N/A
571AF,571NF,15.508,31.016,#N/A,#N/A
571AF,571NG,25.761,51.522,#N/A,#N/A
571AF,571FA,18.821,42.642,#N/A,#N/A
571AF,571FP,17.222,39.444,#N/A,#N/A
571AF,571HJ,12.805,30.61,#N/A,#N/A
571AF,571LB,15.125,35.25,#N/A,#N/A
571AF,571QKA,15.645,31.29,#N/A,#N/A
571AF,571QKB,31.342,62.684,#N/A,#N/A
571AF,571QKC,14.804,29.608,#N/A,#N/A
571AF,571QKD,22.025,44.05,#N/A,#N/A
571AF,571QKE,14.804,34.608,#N/A,#N/A
571AF,571QKF,5.685,11.37,#N/A,#N/A
571AF,571QKG,21.123,42.246,#N/A,#N/A
571AF,571QKT,0,5,#N/A,#N/A
571AF,571FM,14.451,33.902,#N/A,#N/A
571AF,571FD,43.186,91.372,#N/A,#N/A
571AF,571FR,27.489,59.978,#N/A,#N/A
571AF,571FS,54.968,114.936,#N/A,#N/A
571AF,571LH,28.151,61.302,#N/A,#N/A
571AF,571SH,41.287,87.574,#N/A,#N/A
571AF,571FK,66.341,132.682,#N/A,#N/A
571AF,571G,44.486,88.972,#N/A,7
571AF,571GB,35.541,71.082,#N/A,#N/A
571AF,571GC,52.024,104.048,#N/A,#N/A
571AF,571HG,56.333,112.666,#N/A,#N/A
571AF,571SB,44.535,89.07,#N/A,#N/A
571AF,571SD,41.366,82.732,#N/A,#N/A
571AF,571CK,11.92,28.84,#N/A,#N/A
571AF,571CL,15.046,35.092,#N/A,#N/A
571AF,571FB,15.31,35.62,#N/A,6
571AF,571CD,8.304,16.608,#N/A,#N/A
571AF,571HN,13.228,26.456,#N/A,#N/A
571AF,571J,4.996,9.992,#N/A,#N/A
571AF,571JB,5.632,11.264,#N/A,#N/A
